,state92,state90,state52,state9,state96,state50,state94,state6,state5,state7,state19,state57,state13,state56,state12,state11,state54,state98,state17,state16,state59,state81,state41,state85,state83,index,state45,state88,state43,state87,state48,state47,state70,state30,state74,state72,state110,state100,state102,state104,state106,state79,state34,state78,state108,state32,state76,state39,state38,state36,state20,state63,state61,state112,state114,state29,state68,state23,state67,state22,state65,state27,state25
state61,0.94,0.89,0.95,0.71,0.95,0.91,0.84,0.81,0.80,0.81,0.89,0.88,0.88,0.81,0.81,0.75,0.84,0.88,0.88,0.81,0.89,0.89,0.89,0.84,0.95,0.69,0.84,0.87,0.95,0.79,0.91,0.83,0.89,0.88,0.89,0.95,0.83,0.94,0.84,0.84,0.93,0.88,0.95,0.81,0.84,0.89,0.84,0.91,0.83,0.84,0.89,0.84,1.00,0.93,0.83,0.81,0.88,0.88,0.81,0.81,0.95,0.95,0.89
state63,0.84,0.87,0.89,0.66,0.84,0.87,0.96,0.80,0.77,0.80,0.87,0.80,0.80,0.74,0.74,0.72,0.96,0.86,0.80,0.74,0.87,0.87,0.90,0.96,0.84,0.63,0.96,0.79,0.84,0.73,0.80,0.74,0.87,0.82,0.96,0.84,0.94,0.84,0.95,0.96,0.83,0.80,0.84,0.74,0.95,0.87,0.96,0.80,0.77,0.96,0.87,1.00,0.84,0.83,0.94,0.77,0.80,0.80,0.74,0.74,0.84,0.84,0.87
state65,0.94,0.89,0.95,0.71,0.95,0.89,0.84,0.81,0.80,0.81,0.89,0.88,0.88,0.81,0.81,0.75,0.87,0.88,0.88,0.81,0.89,0.89,0.89,0.84,0.95,0.69,0.84,0.87,0.98,0.79,0.88,0.81,0.89,0.88,0.84,0.95,0.83,0.94,0.84,0.84,0.93,0.88,0.95,0.81,0.84,0.91,0.89,0.88,0.81,0.84,0.89,0.84,0.95,0.95,0.85,0.81,0.88,0.91,0.81,0.83,1.00,0.95,0.89
state67,0.82,0.84,0.81,0.79,0.81,0.84,0.74,0.94,0.92,0.94,0.84,0.89,0.89,0.97,0.97,0.82,0.74,0.83,0.89,0.97,0.84,0.87,0.84,0.77,0.81,0.85,0.74,0.88,0.81,0.95,0.89,0.97,0.84,0.89,0.74,0.83,0.72,0.79,0.76,0.74,0.78,0.89,0.81,0.97,0.73,0.84,0.74,0.89,0.97,0.74,0.84,0.74,0.81,0.78,0.72,0.97,0.92,0.89,1.00,0.97,0.81,0.81,0.84
state68,0.90,0.86,0.88,0.76,0.88,0.86,0.80,0.90,0.88,0.90,0.86,0.97,0.97,0.89,0.89,0.79,0.80,0.85,0.97,0.89,0.86,0.89,0.86,0.80,0.88,0.77,0.80,0.96,0.88,0.88,0.97,0.89,0.86,0.97,0.80,0.91,0.78,0.87,0.81,0.80,0.86,0.97,0.88,0.89,0.79,0.86,0.80,0.97,0.89,0.80,0.86,0.80,0.88,0.86,0.78,0.89,1.00,0.97,0.92,0.89,0.88,0.88,0.86
state7,0.80,0.90,0.81,0.76,0.81,0.90,0.80,1.00,0.92,1.00,0.90,0.90,0.90,0.94,0.94,0.83,0.80,0.89,0.90,0.94,0.90,0.90,0.90,0.80,0.81,0.81,0.80,0.88,0.81,0.92,0.90,0.94,0.90,0.90,0.80,0.81,0.78,0.80,0.79,0.80,0.79,0.90,0.81,0.94,0.79,0.90,0.80,0.90,0.94,0.80,0.90,0.80,0.81,0.79,0.78,0.94,0.90,0.90,0.94,0.94,0.81,0.81,0.90
state70,0.88,0.97,0.89,0.71,0.89,0.97,0.90,0.90,0.83,0.90,0.97,0.89,0.86,0.87,0.84,0.78,0.87,0.96,0.86,0.84,0.97,0.97,0.97,0.87,0.91,0.72,0.87,0.85,0.89,0.83,0.86,0.84,1.00,0.86,0.87,0.89,0.85,0.88,0.86,0.87,0.87,0.86,0.89,0.84,0.86,0.97,0.87,0.86,0.84,0.87,0.97,0.87,0.89,0.87,0.85,0.84,0.86,0.86,0.84,0.84,0.89,0.89,0.97
state72,0.94,0.89,0.95,0.71,0.98,0.89,0.84,0.81,0.80,0.81,0.89,0.88,0.88,0.81,0.81,0.75,0.84,0.88,0.88,0.81,0.91,0.89,0.89,0.89,0.95,0.69,0.84,0.87,0.95,0.79,0.91,0.83,0.89,0.88,0.84,1.00,0.83,0.94,0.84,0.87,0.93,0.88,0.95,0.81,0.84,0.89,0.84,0.88,0.81,0.84,0.89,0.84,0.95,0.93,0.83,0.81,0.91,0.88,0.83,0.81,0.95,0.95,0.89
state74,0.84,0.87,0.84,0.66,0.84,0.90,0.96,0.80,0.77,0.80,0.87,0.80,0.80,0.74,0.74,0.72,0.96,0.86,0.80,0.74,0.87,0.87,0.87,0.96,0.84,0.63,0.96,0.79,0.84,0.73,0.80,0.77,0.87,0.80,1.00,0.84,0.94,0.84,0.95,0.96,0.83,0.80,0.84,0.74,0.95,0.87,0.96,0.82,0.77,0.96,0.87,0.96,0.89,0.83,0.94,0.74,0.80,0.80,0.74,0.74,0.84,0.84,0.87
state76,0.84,0.87,0.84,0.66,0.84,0.87,0.96,0.80,0.77,0.80,0.87,0.80,0.80,0.74,0.74,0.72,0.98,0.86,0.80,0.74,0.87,0.87,0.87,0.96,0.84,0.63,0.96,0.79,0.87,0.73,0.80,0.74,0.87,0.80,0.96,0.84,0.94,0.84,0.95,0.96,0.83,0.80,0.84,0.74,0.95,0.90,1.00,0.80,0.74,0.96,0.87,0.96,0.84,0.85,0.96,0.74,0.80,0.82,0.74,0.77,0.89,0.84,0.87
