,state92,state90,state52,state9,state96,state50,state94,state6,state5,state7,state19,state57,state13,state56,state12,state11,state54,state98,state17,state16,state59,state81,state41,state85,state83,index,state45,state88,state43,state87,state48,state47,state70,state30,state74,state72,state110,state100,state102,state104,state106,state79,state34,state78,state108,state32,state76,state39,state38,state36,state20,state63,state61,state112,state114,state29,state68,state23,state67,state22,state65,state27,state25
state78,0.79,0.87,0.81,0.79,0.81,0.84,0.77,0.94,0.92,0.94,0.84,0.89,0.89,0.97,0.97,0.82,0.74,0.83,0.89,0.97,0.84,0.84,0.84,0.74,0.83,0.85,0.74,0.88,0.81,0.95,0.89,0.97,0.84,0.89,0.74,0.81,0.72,0.82,0.73,0.74,0.78,0.92,0.81,1.00,0.76,0.84,0.74,0.89,0.97,0.74,0.84,0.74,0.81,0.78,0.72,0.97,0.89,0.89,0.97,0.97,0.81,0.81,0.84
state79,0.87,0.89,0.88,0.76,0.88,0.86,0.80,0.90,0.88,0.90,0.86,0.97,0.97,0.89,0.89,0.79,0.80,0.85,0.97,0.89,0.86,0.86,0.86,0.80,0.91,0.77,0.80,0.96,0.88,0.88,0.97,0.89,0.86,0.97,0.80,0.88,0.78,0.90,0.79,0.80,0.86,1.00,0.88,0.92,0.81,0.86,0.80,0.97,0.89,0.80,0.86,0.80,0.88,0.86,0.78,0.89,0.97,0.97,0.89,0.89,0.88,0.88,0.86
state81,0.90,0.97,0.89,0.71,0.89,0.97,0.87,0.90,0.83,0.90,0.97,0.86,0.86,0.84,0.84,0.78,0.87,0.96,0.86,0.84,0.97,1.00,0.97,0.87,0.89,0.72,0.87,0.85,0.89,0.83,0.86,0.84,0.97,0.86,0.87,0.89,0.85,0.88,0.89,0.87,0.87,0.86,0.89,0.84,0.86,0.97,0.87,0.86,0.84,0.87,0.97,0.87,0.89,0.87,0.85,0.84,0.89,0.86,0.87,0.84,0.89,0.89,0.97
state83,0.94,0.89,0.95,0.71,0.95,0.89,0.89,0.81,0.80,0.81,0.89,0.91,0.88,0.83,0.81,0.75,0.84,0.88,0.88,0.81,0.89,0.89,0.89,0.84,1.00,0.69,0.84,0.87,0.95,0.79,0.88,0.81,0.91,0.88,0.84,0.95,0.83,0.94,0.84,0.84,0.93,0.91,0.95,0.83,0.84,0.89,0.84,0.88,0.81,0.84,0.89,0.84,0.95,0.93,0.83,0.81,0.88,0.88,0.81,0.81,0.95,0.95,0.89
state85,0.84,0.87,0.84,0.66,0.87,0.87,0.96,0.80,0.77,0.80,0.87,0.80,0.80,0.74,0.74,0.72,0.96,0.86,0.80,0.74,0.90,0.87,0.87,1.00,0.84,0.63,0.96,0.79,0.84,0.73,0.82,0.77,0.87,0.80,0.96,0.89,0.94,0.84,0.95,0.98,0.83,0.80,0.84,0.74,0.95,0.87,0.96,0.80,0.74,0.96,0.87,0.96,0.84,0.83,0.94,0.74,0.80,0.80,0.77,0.74,0.84,0.84,0.87
state87,0.84,0.83,0.79,0.77,0.79,0.83,0.73,0.92,0.91,0.92,0.86,0.88,0.91,0.95,0.98,0.81,0.73,0.87,0.88,0.95,0.83,0.83,0.83,0.73,0.79,0.83,0.73,0.93,0.79,1.00,0.88,0.95,0.83,0.88,0.73,0.79,0.77,0.81,0.78,0.73,0.83,0.88,0.79,0.95,0.75,0.83,0.73,0.88,0.95,0.76,0.86,0.73,0.79,0.83,0.77,0.95,0.88,0.88,0.95,0.95,0.79,0.82,0.83
state88,0.91,0.85,0.87,0.75,0.87,0.85,0.79,0.88,0.87,0.88,0.88,0.96,0.99,0.88,0.91,0.78,0.79,0.89,0.96,0.88,0.85,0.85,0.85,0.79,0.87,0.76,0.79,1.00,0.87,0.93,0.96,0.88,0.85,0.96,0.79,0.87,0.81,0.89,0.80,0.79,0.90,0.96,0.87,0.88,0.78,0.85,0.79,0.96,0.88,0.81,0.88,0.79,0.87,0.90,0.81,0.88,0.96,0.96,0.88,0.88,0.87,0.90,0.85
state9,0.70,0.71,0.71,1.00,0.71,0.71,0.66,0.76,0.75,0.76,0.71,0.76,0.76,0.79,0.79,0.75,0.66,0.70,0.76,0.79,0.71,0.71,0.71,0.66,0.71,0.83,0.66,0.75,0.71,0.77,0.76,0.79,0.71,0.76,0.66,0.71,0.64,0.70,0.65,0.66,0.69,0.76,0.71,0.79,0.65,0.71,0.66,0.76,0.79,0.66,0.71,0.66,0.71,0.69,0.64,0.79,0.76,0.76,0.79,0.79,0.71,0.71,0.71
state90,0.88,1.00,0.89,0.71,0.89,0.97,0.87,0.90,0.83,0.90,0.97,0.86,0.86,0.84,0.84,0.78,0.87,0.96,0.86,0.84,0.97,0.97,0.97,0.87,0.89,0.72,0.87,0.85,0.89,0.83,0.86,0.84,0.97,0.86,0.87,0.89,0.85,0.90,0.86,0.87,0.87,0.89,0.89,0.87,0.89,0.97,0.87,0.86,0.84,0.87,0.97,0.87,0.89,0.87,0.85,0.84,0.86,0.86,0.84,0.84,0.89,0.89,0.97
state92,1.00,0.88,0.94,0.70,0.94,0.88,0.84,0.80,0.79,0.80,0.88,0.87,0.90,0.79,0.82,0.74,0.84,0.87,0.87,0.79,0.88,0.90,0.88,0.84,0.94,0.68,0.84,0.91,0.94,0.84,0.87,0.79,0.88,0.87,0.84,0.94,0.84,0.95,0.89,0.84,0.94,0.87,0.94,0.79,0.85,0.88,0.84,0.87,0.79,0.86,0.88,0.84,0.94,0.94,0.84,0.79,0.90,0.87,0.82,0.79,0.94,0.96,0.88
